,movie,year,imdb,metascore,votes
602, The Lion King,2019,6.8,55,266K
603, Glass,2019,6.6,43,266K
604, Ad Astra,2019,6.5,80,259K
605, The Lighthouse,2019,7.4,83,253K
606, Little Women,2019,7.8,91,243K
607, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
608, Doctor Sleep,2019,7.3,59,217K
609, Dark Phoenix,2019,5.7,43,204K
610, Godzilla: King of the Monsters,2019,6.0,48,204K
611, Zombieland: Double Tap,2019,6.7,55,201K
612, 6 Underground,2019,6.1,41,196K
613, Rocketman,2019,7.3,69,194K
614, Frozen II,2019,6.8,64,193K
615,Tenet,2020,7.3,69,588K
616,Soul,2020,8.0,83,377K
617,Wonder Woman 1984,2020,5.4,60,291K
618,A Quiet Place Part II,2020,7.2,71,271K
619,Birds of Prey,2020,6.1,60,264K
620,Extraction,2020,6.8,56,261K
621,The Invisible Man,2020,7.1,72,254K
622, Enola Holmes,2020,6.6,68,218K
623, Promising Young Woman,2020,7.5,72,210K
624, Druk,2020,7.7,79,193K
625, The Trial of the Chicago 7,2020,7.7,76,193K
626, The Father,2020,8.2,88,191K
627, The Old Guard,2020,6.7,70,183K
628, Nomadland,2020,7.3,88,182K
629, Palm Springs,2020,7.4,83,181K
630, Bad Boys for Life,2020,6.5,59,174K
631, Onward,2020,7.4,61,169K
632, Mulan,2020,5.8,66,159K
633, Sonic the Hedgehog,2020,6.5,47,158K
634, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
635, The Devil All the Time,2020,7.1,55,152K
636, I Care a Lot,2020,6.4,66,145K
637, Love and Monsters,2020,6.9,63,145K
638, Greenland,2020,6.4,64,133K
639, The Hunt,2020,6.5,50,128K
640, Greyhound,2020,7.0,64,114K
641, Hamilton,2020,8.3,88,112K
642, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
643, I'm Thinking of Ending Things,2020,6.6,78,99K
644, Project Power,2020,6.0,51,97K
645, Spenser Confidential,2020,6.2,49,97K
646, Underwater,2020,5.9,48,97K
647, Minari,2020,7.4,89,96K
648, News of the World,2020,6.8,73,95K
649,Tenet,2020,7.3,69,588K
650,Soul,2020,8.0,83,377K
651,Wonder Woman 1984,2020,5.4,60,291K
652,A Quiet Place Part II,2020,7.2,71,271K
653,Birds of Prey,2020,6.1,60,264K
654,Extraction,2020,6.8,56,261K
655,The Invisible Man,2020,7.1,72,254K
656, Enola Holmes,2020,6.6,68,218K
657, Promising Young Woman,2020,7.5,72,210K
658, Druk,2020,7.7,79,193K
659, The Trial of the Chicago 7,2020,7.7,76,193K
660, The Father,2020,8.2,88,191K
661, The Old Guard,2020,6.7,70,183K
662, Nomadland,2020,7.3,88,182K
663, Palm Springs,2020,7.4,83,181K
664, Bad Boys for Life,2020,6.5,59,174K
665, Onward,2020,7.4,61,169K
666, Mulan,2020,5.8,66,159K
667, Sonic the Hedgehog,2020,6.5,47,158K
668, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
669, The Devil All the Time,2020,7.1,55,152K
670, I Care a Lot,2020,6.4,66,145K
671, Love and Monsters,2020,6.9,63,145K
672, Greenland,2020,6.4,64,133K
673, The Hunt,2020,6.5,50,128K
674, Greyhound,2020,7.0,64,114K
675, Hamilton,2020,8.3,88,112K
676, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
677, I'm Thinking of Ending Things,2020,6.6,78,99K
678, Project Power,2020,6.0,51,97K
679, Spenser Confidential,2020,6.2,49,97K
680, Underwater,2020,5.9,48,97K
681, Minari,2020,7.4,89,96K
682, News of the World,2020,6.8,73,95K
683,Tenet,2020,7.3,69,588K
684,Soul,2020,8.0,83,377K
685,Wonder Woman 1984,2020,5.4,60,291K
686,A Quiet Place Part II,2020,7.2,71,271K
687,Birds of Prey,2020,6.1,60,264K
688,Extraction,2020,6.8,56,261K
689,The Invisible Man,2020,7.1,72,254K
690, Enola Holmes,2020,6.6,68,218K
691, Promising Young Woman,2020,7.5,72,210K
692, Druk,2020,7.7,79,193K
693, The Trial of the Chicago 7,2020,7.7,76,193K
694, The Father,2020,8.2,88,191K
695, The Old Guard,2020,6.7,70,183K
696, Nomadland,2020,7.3,88,182K
697, Palm Springs,2020,7.4,83,181K
698, Bad Boys for Life,2020,6.5,59,174K
699, Onward,2020,7.4,61,169K
700, Mulan,2020,5.8,66,159K
701, Sonic the Hedgehog,2020,6.5,47,158K
702, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
703, The Devil All the Time,2020,7.1,55,152K
704, I Care a Lot,2020,6.4,66,145K
705, Love and Monsters,2020,6.9,63,145K
706, Greenland,2020,6.4,64,133K
707, The Hunt,2020,6.5,50,128K
708, Greyhound,2020,7.0,64,114K
709, Hamilton,2020,8.3,88,112K
710, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
711, I'm Thinking of Ending Things,2020,6.6,78,99K
712, Project Power,2020,6.0,51,97K
713, Spenser Confidential,2020,6.2,49,97K
714, Underwater,2020,5.9,48,97K
715, Minari,2020,7.4,89,96K
716, News of the World,2020,6.8,73,95K
717,Tenet,2020,7.3,69,588K
718,Soul,2020,8.0,83,377K
719,Wonder Woman 1984,2020,5.4,60,291K
720,A Quiet Place Part II,2020,7.2,71,271K
721,Birds of Prey,2020,6.1,60,264K
722,Extraction,2020,6.8,56,261K
723,The Invisible Man,2020,7.1,72,254K
724, Enola Holmes,2020,6.6,68,218K
725, Promising Young Woman,2020,7.5,72,210K
726, Druk,2020,7.7,79,193K
727, The Trial of the Chicago 7,2020,7.7,76,193K
728, The Father,2020,8.2,88,191K
729, The Old Guard,2020,6.7,70,183K
730, Nomadland,2020,7.3,88,182K
731, Palm Springs,2020,7.4,83,181K
732, Bad Boys for Life,2020,6.5,59,174K
733, Onward,2020,7.4,61,169K
734, Mulan,2020,5.8,66,159K
735, Sonic the Hedgehog,2020,6.5,47,158K
736, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
737, The Devil All the Time,2020,7.1,55,152K
738, I Care a Lot,2020,6.4,66,145K
739, Love and Monsters,2020,6.9,63,145K
740, Greenland,2020,6.4,64,133K
741, The Hunt,2020,6.5,50,128K
742, Greyhound,2020,7.0,64,114K
743, Hamilton,2020,8.3,88,112K
744, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
745, I'm Thinking of Ending Things,2020,6.6,78,99K
746, Project Power,2020,6.0,51,97K
747, Spenser Confidential,2020,6.2,49,97K
748, Underwater,2020,5.9,48,97K
749, Minari,2020,7.4,89,96K
750, News of the World,2020,6.8,73,95K
751,Tenet,2020,7.3,69,588K
752,Soul,2020,8.0,83,377K
753,Wonder Woman 1984,2020,5.4,60,291K
754,A Quiet Place Part II,2020,7.2,71,271K
755,Birds of Prey,2020,6.1,60,264K
756,Extraction,2020,6.8,56,261K
757,The Invisible Man,2020,7.1,72,254K
758, Enola Holmes,2020,6.6,68,218K
759, Promising Young Woman,2020,7.5,72,210K
760, Druk,2020,7.7,79,193K
761, The Trial of the Chicago 7,2020,7.7,76,193K
762, The Father,2020,8.2,88,191K
763, The Old Guard,2020,6.7,70,183K
764, Nomadland,2020,7.3,88,182K
765, Palm Springs,2020,7.4,83,181K
766, Bad Boys for Life,2020,6.5,59,174K
767, Onward,2020,7.4,61,169K
768, Mulan,2020,5.8,66,159K
769, Sonic the Hedgehog,2020,6.5,47,158K
770, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
771, The Devil All the Time,2020,7.1,55,152K
772, I Care a Lot,2020,6.4,66,145K
773, Love and Monsters,2020,6.9,63,145K
774, Greenland,2020,6.4,64,133K
775, The Hunt,2020,6.5,50,128K
776, Greyhound,2020,7.0,64,114K
777, Hamilton,2020,8.3,88,112K
778, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
779, I'm Thinking of Ending Things,2020,6.6,78,99K
780, Project Power,2020,6.0,51,97K
781, Spenser Confidential,2020,6.2,49,97K
782, Underwater,2020,5.9,48,97K
783, Minari,2020,7.4,89,96K
784, News of the World,2020,6.8,73,95K
